Exchangeable Encodings for SOS - extension support WaterML2,52°North Initiative for Geospatial Open Source Software GmbH,Alexander Kmoch,"The 52°North SOS implements a subset of the O&M data format, because O&M is too flexible to be supported completely. It would be a good alternative, if users could just implement a simple encoding (for example to support their own CSV or JSON data format) and upload a compiled jar file to the SOS with a browser-based user interface. Then a client selects the newly available response format to retrieve the data in a new format. As an extension it would be very useful to researchers and data maintainers in the hydrological and meteorological domain to have the SOS server deliver WaterML2.0 encoded time-series.Based on the SOS adminstrator project, the desired encodings could be prepared as .jar-files and added via a web frontend."
GIS link to the Web of Things,52°North Initiative for Geospatial Open Source Software GmbH,Sidhant,"The project titled “GIS link to the Web of Things” envisions a world in which everyday devices and objects are linked by fully integrating them into the World Wide Web. Imagine, a scenario in which thousands of sensors spread over the seven seas can be controlled via any location on the earth. Although, one would rightly argue that such system are already in place, but what we are lacking is an interoperable API which can answer http request to the sensors, and its equivalent GIS software at the client/access end. Implementing the GeoServices REST API directly on the sensor platform would provide just that. "
On-demand transformation of Open Street Map Data into common GIS formats ,52°North Initiative for Geospatial Open Source Software GmbH,Sarah Harvey,"Open Street Map (OSM) is a valuable and free source of geographical data backed by a large number of volunteers mapping the world. However, the usage of this data is not trivial. The central website offers only a ’raw’ data format. GIS systems have their own dataformats. An on-demand transformation step is missing which can be filled by (interoperable) Web Services such as the 52North Web Processing Service (WPS).Project result: An addition to the 52North WPS to transform OSM data in various GIS formats on demand."
SOS Administrator,52°North Initiative for Geospatial Open Source Software GmbH,Shubham Sachdeva,"Deploying SOS on a server is quite a complex process as of now. Also, data administration tasks such as Read/Update/Delete operations on database and changing configuration settings is not very user friendly. After this project has been completed, SOS will have a web-based user friendly automatic installer and a SOS administration, which will make configuring SOS very easy and intuitive and all data administrative tasks could be done at one place."
Dialog improvements,abiword,Vincent (zuyin kang),"This idea wants to solve these two problems in Abiword:1.	Users can set table attributions(width, height, rotate-angle) preciously in table-setting dialog2.	Make Frame expandable when users enter extra line of textI would like to split this idea to two part：1. Table Setting Dialog: including dimensions setting and 'rotate-angle' setting2. Frame expandable, making Frame expandable when users enter extra line of textfor the 'rotate-angle' setting issue,it is another GSOC topic, but if none deal with that, I can do this two topic together."
"Implement and Improve the import and export of math from/to odt, doc & docxformats",abiword,Prashant Bafna,"The aim is to Investigate, Improve and Implement the import & export of math from/to 1) odt 2) doc & 3) docx formats making it convenient to work across all applications such as MS word, LibreOffice Writer and in the process improving AbiWord as a cross platform word processor."
Improve ODF support,abiword,Tanya Guza,"Currently ODF is one of the most popular document formats, so it’s support is vital part of AbiWord. There are still some issues that need to be fixed to improve ODF support. The aim of this project is to solve these issues and give to users even better support of ODF features."
Improving Abiword's OpenXML(.docx) support,abiword,serhatkiyak,"In this project, Abiword's docx format support will be developed. Both importing and exporting docx files will be done better after fixing bugs and providing some additional features to docx support. "
Table Improvements,abiword,Kousik Kumar T N,"Abiword is a cross platform, light weight text processor. In this project I hope to implement repeating table header, a feature that allows Abiword's Table to repeat a selected row as header on top of each page that the table is broken over. In the event that I finish the project early, I will start work on improving the Table Dialog in Abiword."
A translation editor for DTD resources,Ankur India,Tirtha Chatterjee,"Implementing an extensible library for translating locale files of different formats, creating plugins for Mozilla DTD and properties translation files for this library, and integrating it in an existing translation application like Lokalize"
New Visual Keyboard for Bengali,Ankur India,Sayak Sarkar,"The popular keyboard layouts in use for Indic scripts such as Bengali follow a non-visual style of typing i.e. the characters are not typed in the sequence they are displayed. The non-visual style follows a uniform method of typing the characters as per their type (consonants, independent vowels, dependent vowels, special characters, conjunct characters) and are defined by specific rules. This method of writing is already prevalent. However, this often poses a learning challenge for new users who are more practised in the conventional visual writing method. This project aims to create a Visual typing method for complex scripts like Bengali. "
[XERCESJ-1130] Validating against multiple XML schemas with the same namespace,Apache Software Foundation,Shakya Wijerama,"Apache Xerces-J is a high performance, fully compliant XML parser and an XML schema processor which is written in Java[1]. Xerces has more features in it than the requirements of the w3c specification. But, still there are some design limitations which have to be resolvedin its implementation. This project aims one of those design limitations which is “Validating against multiple XML schemas with the same namespace”[2] which will comfort the life of the users."
Add ODF 1.2 RDF Metadata Support to ODF Toolkit,Apache Software Foundation,Tao Lin,"New in ODF 1.2 is the ability to annotate parts of the document and the document itself with arbitrary metadata using the W3C RDF standard. I'll design and develop a new feature of the ODF Toolkit library, a new feature of the ODF Toolkit library, which allows to add arbitrary RDF graphs to the document or parts of it, identified by XML file with xml:id, summarized in a manifest.rdf, and to transform ODF XML metadata to RDF metadata."
Adding the Datetime Type as a Primitive for Pig,Apache Software Foundation,Zhijie Shen,"Apache Pig is a platform for analyzing large data sets based on Hadoop. Currently Pig does not support the primitive datetime type, which is a desired feature to be implemented. In this proposal, I explain my plan to implement the primitive datetime type, including the details of my solution and schedule. Additionally, I briefly introduce my background and the motivation of applying GSoC'12."
Apache Stanbol: Entity Disambiguation,Apache Software Foundation,Kritarth Anand,"I would like to work on Entity disambiguation in Stanbol. Suppose I have ""George Bush"" in a sentence or document. There are may be two matches. 1. George H. W. Bush - 41st US President 2. George W. Bush – 43rd US President. The idea is to provide support to Stanbol enhancer to be able to disambiguate between 1 and 2 on the basis of context from the document and data associated with 1 and 2."
Automated Publishing of GeoRSS Data from OODT File Manager to SIS,Apache Software Foundation,Ross Laidlaw,"This proposal involves the 'Object Oriented Data Technology' (OODT) and 'Spatial Information Systems' (SIS) projects, both run by the Apache Software Foundation.The goal of this project is to establish a well-designed, formal, robust connection between OODT and SIS so that data from OODT that is tagged with geographical metadata can be read in and understood by SIS.This is expected to bring significant benefits to both the OODT and SIS communities."
CUBE operation in Pig,Apache Software Foundation,Prasanth Jayachandran,"Computing aggregates over a cube of several dimensions is a common operation in data warehousing. In Online Analytical Processing (OLAP) systems, a cube is a way of organizing data in N-dimensions so as to perform analysis over some measure of interest. Measure is a term used to refer numerical facts that can be algebraic(SUM, COUNT etc.) or holistic (DISTINCT, TOP-K etc.).The aim of this project is to provide support for cube computation over massive datasets using Apache Pig. It extends my current naïve implementation of cube operator to support efficient cube computation for algebraic and holistic measures."
Developing a metadata model to manage photos in Apache Photark,Apache Software Foundation,Prabhath Suminda,Implementing a proper way to manage photos by structurally maintaining the meta information of the photos in Photark
Distribuited mailbox indexing over HBase/HDFS,Apache Software Foundation,Mihai Soloi,"Currently, James mailbox supports email indexing over Lucene, the directory implementation of the Lucene search and indexing relies on relational databases, or file-system storing. As the number of indexes increases with the number of clients using the mailbox so does the performance of the indexing degrade, thus an implementation over a noSQL database like HBase would solve this problem by distributing the indexes and documents on a system designed for high amounts of data."
Ecipse XML editor based lightweight Tapestry visual editor,Apache Software Foundation,Gavin Lei,"Apache Tapestry supplies powerful component structure, and it offered a number of other powerful features that proved to be critical in our work. It allowed a clean separation between Java and HTML, make it possible for the design work on the application to continue well after the code had been completed, and becoming more and more popular today. This project aims to build a lightweight Tapestry visual editor on Eclipse XML editor."
FUNTIONAL TESTING PLAN FOR THE OFBIZ,Apache Software Foundation,Nguyen Hoang Thanh Duc,"The functional testing plan for the OFBIZ, which includes estimated number of iteration, and tasks to be completed within a specific iteration"
Google Summer of Code: ODF Command Line Tools (Draft Proposal),Apache Software Foundation,Noah Tilton,"The ODF Command Line Tools (OCLT) would purport to be a suite ofcross-platform utilities that would make it easy to do both simple andcomplex text manipulation tasks from the command line.The OCLT wouldbe able to manipulate ODF documents both in terms of structure *and*content.The target audience of the OCLT would be command-line afficionados,power users, QA testers, web developers, and others who may be, but arenot necessarily, professional developers."
Gora - Amazon DynamoDB datastore for Gora,Apache Software Foundation,Renato Marroquin,"Provide a gora-amazondynamodbmodule for Gora in order to offer a popular datastore for the community. In this way, the main objective is to embrace the use of Gora within the open source community."
Hupa evolution,Apache Software Foundation,echo,"Hupa is an Rich IMAP-based Webmail application written in GWT, but there is no release delivered yet. This proposal's aim is to make it fully functional adding many features which are missing and removing out-of-dated dependencies in favor of the new stuff in the latest GWT version."
Implement a Collection of Integration Patterns for Synapse,Apache Software Foundation,Malith,"Core idea of the project is implementing a library of built-in integration patterns for Synapse. The Enterprise Integration Patterns are well defined solutions to recurring problems within a given SOA or ESB or Web Service development. Each pattern is defined as a framework for designing, building messaging and integration systems as well as a common language forarchitecting solutions. So the purpose of project is to strengthen Apache Synapse to support most of the Enterprise Integration Patterns from the book by Gregor Hohpe and Bobby Woolf ."
Implement the W3C XML Digital Signatures for Widgets Specification in Apache Wookie,Apache Software Foundation,Lanka,"Apache Wookie is a Java server application in the incubation status at ASF. It allows administrators to upload and deploy Widgets packaged according to the W3C Widgets specification. These widgets are then hosted in container applications which connects with Wookie server and let it users to pick widgets to be added to their pages. This GSoC project aims to implement the W3C XML Digital Signatures for Widgets specification, in Wookie. With this feature, organizations can automate the installation and updating process of widgets, verifying the signature.xml of the widget to be deployed or updated."
"Implementing module to creating document thumbnail, displayed on the whiteboard, without using OpenOffice.org, as mandatory dependency. Project Apache OpenMeetings",Apache Software Foundation,Dmitry Zamula,"My goal is to improve Apache OpenMeetings performance by implementing a system of posting documents on the whiteboard, without using OpenOffice."
Improve Derby's Code Coverage,Apache Software Foundation,Mohamed Nufail,Apache Derby is an open source relational database implemented entirely in Java. The purpose of this project is to improve the code coverage of Derby by writing additional tests. It is important to have tests to cover the entire code base in order to ensure proper functionality. This project aims to find out classes with poor code coverage and create tests to cover them.
Improve JSON support in Apache Axis2 with google-gson java library,Apache Software Foundation,Shameera Rathnayaka,"According to the existing JSON support in Apache Axis2/Java, it deals with badgerfish[1] format of the JSON object which is an XML representation of JSON object. In the server side it converts that badgerfish stringto the relevant XML format and use it similarly as a normal XML SOAP message. As described in Axis2 documentation[1] it partially supports mapped format which isanother XML representation of JSON object too. But this JSON support can be improved to support pure JSON objects without using any format to covert it into a XML, as JSON is a light weighted alternative to XML. Therefore existing JSON support doesn't expose its advantages at all. Here I propose a solution to improve the existing JSON support of Axis2 with some limitations by using google-gson [2] library which is a rich library to convert a JSON string to a Java object and vice-versa. As this is also released under Apache license, using this library we can improve JSON support in Axis2 to overcome above problem."
Improvement of testing and adjusting of media content transmitting in Apache OpenMeetings conferences,Apache Software Foundation,German Grekhov,I want to make the Apache OpenMeetings software more handy and flexible to set it up that would improve routine of video conferences. I want to add several new features. These features are connected with user’s custom preferences of media content transmitting.
Improving drawing support for Apache POI HSSF module,Apache Software Foundation,Evgeniy Berlog,HSSF is the Apache POI Project’s implementation of the Excel binary file format (.xls). One of drawbacks of the current implementation is limited support for Excel drawing layer
Improvised code coverage for Derby,Apache Software Foundation,Siddharth Srivastava,"This project aims at improvising code coverage in Derby. Having good code coverage helps assure that the most important conditions are met and tested.Since derby has lots of legacy code and is used in a variety of environments including commercial deployments, it becomes more important to provide high code coverage for important classes."
Integrate Apache Sling to Apache Airavata Registry,Apache Software Foundation,Bhathiya,"Project’s main idea is to implement the Sling support for Apache Airavata. Currently Airavata API is used to store/retrieve data from Jackrabbit content repository. But it’s not scalable when comes to handle large amount of data, because of keeping the session in the client side. Sling supports accessing Jackrabbit in RESTfull way. So the basic requirement is to come up with another API which looks like the current API, but uses jackrabbit through Sling Interface. "
LUCENE-3312 Break out StorableField from IndexableField,Apache Software Foundation,Nikola Tanković,"Lucene is a open-source full-text search library written in Java, but ported to many other languages. It relays on concept of document, a core Lucene information holder in need to be indexed or stored.This project will decouple indexing and storing operations over fields in document, as well as separate document classes in indexing and search time."
LUCENE-3892: Add a useful intblock postings format,Apache Software Foundation,Han Jiang,"My project aims to improve search performance by integrating a new postings format with a search engine library (Lucene). The work includes implementation of encoder/decoder, modifications on previous postings format interface, and performance comparisons. I'll also compare the performance among the new postings format and current approaches."
Message Queue component for Nuvem,Apache Software Foundation,Dulini Atapattu,"Apache Nuvem is an open application programming interface for common cloud application services,allowing applications to be easily ported across the most popular cloud platforms. The eventual goal of this project is to develop a standard vendor independent message queue API for Nuvem."
Non rowkey predicate pushdown in Hive-HBase handler (Hive jira - 1643),Apache Software Foundation,bharath v,This project aims at optimizing the network IO in Hive queries on HBase StorageHandler by converting non-row-key predicates into corresponding HBase filters and pushing them down in the query tree and using row-key predicates to determine scan ranges.
openmeetings plugin for zimbra,Apache Software Foundation,Ankur Ankan,"There are two features that the plugin would add in zimbra:1.There could be an openmeeting conference event in the Zimbra calender. Every person invited to the calender event receives a mail in Zimbra. The email will also be having a link to enter the conference room.2.A conference invitation could be attached in emails with the link to enter the conference rooms."
Photo galleria: A hybrid mobile app developed using Phonegap,Apache Software Foundation,Bhargav Golla,"There is no Hybrid mobile app for a user to view all his photos stored in various online social networking sites and storage sites at one place. The goal of this project is to solve the aforementioned problem.Through this project, I intend to develop a hybrid app that will stream all photos a user has uploaded on various sites like Facebook, Picasa, and Flickr etc. by making use of APIs of these sites. This app will be developed using Phonegap."
