enviroCar App UX Design,52°North Initiative for Geospatial Open Source Software GmbH,Rahul raja,"enviroCar application helps in keeping a check on the volume of co2 emissions produced in a cityand also a check on the fuel consumption for an individual. Therefore,in this project i have proposed some features which will help the users in using the app more frequently and contributing towards the lowering of co2 emissions. Also i have proposed some UI/UX changes in the app which will improve the overall experience while using the app."
Proposal for Access Control User Interface for SOS Servers,52°North Initiative for Geospatial Open Source Software GmbH,Dushyant,Currently the SOS web app lacks the access control mechanism for different roles of users through this edition of GSOC i intent to enhance the current security for SOS by adding the access control for admin user and implementing the same for SWE client
Sensor Data Access for Rasdaman ,52°North Initiative for Geospatial Open Source Software GmbH,Simona Badoiu,This project should connect Rasdaman as a data storage backend to the 52°North Sensor Observation Service (SOS) implementation by adding Rasdaman as a data source in the 52°North SOS. 
Using the ILWIS framework for geo-data capture with a mobile application ,52°North Initiative for Geospatial Open Source Software GmbH,Bouke Pieter,"Develop an application, for android and using the ILWIS framework, which can deal with (temporal) inconnectivity with the internet and is easy customizable for certain use cases."
Accounting for Orbital Perturbations in the IMEX Comet Trails Project,AerospaceResearch.Net,Julian Herzog,"I plan to improve the accuracy and usefulness of the software that has been developed as part of the “IMEX Comet trails” project at the Institute of Space Systems. To achieve this, I will evaluate and implement modules that take additional orbital perturbations into account. Depending on project progress, I will also work on improving the usability and scalability of the software by implementing means to visualize the data that is generated and by improving data handling."
Distributed Ground Station Network - Positioning,AerospaceResearch.Net,Marta Przyszlak,I am interested in topics related to positioning and satellites orbit prediction and I would like to participate in the project Distributed Ground Station Network. I am currently working on numerical methods to predict orbit of satellites of good known GPS. There are systems and many available applications used to positioning and navigation on the Earth. The idea of positioning objects in the space sounds more challenging. 
Distributedly Computed Interplanetary Dust and its Visualization,AerospaceResearch.Net,Maximilian Sommer,"I would like to support the progress of the IMEX project by further developing the current proof of concept model, adding several options to increase the model’s accurateness and to extend its field of application. These innovations pave the way for a broadly usable simulation tool that is able to predict and store the trajectories of large amounts of particles or light objects through the Solar System, utilizing the computation capability of the Constellation platform."
Let's do some more work for DSGN!,AerospaceResearch.Net,Sebastian Kühn,"As a student in aerospace engineering at University of Stuttgart, I'm always looking forward for new challenges in that field. Also i think especially in the DGSN Project of AerospaceResearch.Net, there areopportuninies not only in space applications. As I already did some work for DSGN in the past, i'm willing to share some more time with it."
Add New Disk Wizard for Amahi Home Server,Amahi,Kasun Thennakoon,"This is a new plugin designed for the existing Amahi HDA.This Disk wizard provides a hassle free process for mounting, partitioning, formatting of newly attached storage devices to the HDA. Users are few clicks away from getting their devices ready to work with the system.It reduces the previous complexcity of the task."
Amahi 8,Amahi,Arpit Goyal,"Amahi 8 is what's next. The project Aims to introduce new features, migrate to upgraded technology, make amahi platform more secure and robust. Providing support for mobile apps API and creating an amahi plugin system, where PHP, Python, Node, and other modern webapps can be easily integrated."
Amahi Android Client,Amahi,Artur Dryomov,"Mobile phones, especially smartphones, came to our life very quickly. We use them every day and sometimes more often than our computers. At the moment there is no way to use Amahi comfortably on Android. This conclusion assumes that some work should be done to provide a new way of user interaction with Amahi. My work is to implement this idea in an Android application for Amahi."
(PIG-2597) Move Grunt from JavaCC to ANTLR,Apache Software Foundation,Kyungho Jeon,"Apache Pig a platform for analyzing large scale data sets using high-level dataflow language.Currently Pig utilizes two frameworks, JavaCC and ANTLR forgenerating language processors.In this Google Summer of Code project, I will reimplement GruntParser usingANTLR and merge it QueryParser.Removing GruntParser's dependency on JavaCCwill help Apache Pig project keep clean, easy to maintain codebase and continueto be improved by many contributors."
[CLOUDSTACK-6045] Create GUI to add primary storage based on plug-ins,Apache Software Foundation,Seif Eddine Jemli,"The project’s goal is to provide admins who want to add primary storage to CloudStack that is not based on the default storage plug-in with a GUI plugin (or modified version of a current window) that enables them to invoke the addStoragePool API."
[CLOUDSTACK-6114] Create config management recipes to install CloudStack,Apache Software Foundation,Ian Duffy,The aim of this project is to use Vagrant and one of the many configuration management tools to easily bring up Cloudstack environments for development or testing purposes.
A SpatialPrefixTree based on the Hilbert Curve and variable grid sizes,Apache Software Foundation,Varun V Shenoy,"A SpatialPrefixTree which uses Hilbert curve for ordering multi-dimension points to one dimension, Morton binary coding and variable sized grids to effeciently process geodetic and non-geodetic queries will be introduced in Apache spatial. "
Add Security capabilities to Airavata Thrift services and clients,Apache Software Foundation,Supun Chathuranga Nakandala,There is a huge need for Airavata based science gateways to have secure communication with the Airavata server. The main goal of this project is to explore and add security capabilities to Airavata Thrift services and clients.
Amazon Glacier support for jclouds,Apache Software Foundation,Roman Coedo,"The following document is my proposal to add support for Amazon Glacier to jclouds. The next pages explains the needs of Glacier support, summarizes my vision of how the development process should be approached, and describe the main goals I’d like to achieve."
Apache Bloodhound : Batch create tickets,Apache Software Foundation,Dammina,"Currently Apache Bloodhound provides a method for creating tickets by filling a form with relevant information. But as it provides the functionality just for add one ticket a time, for a user who requires to create a large number of tickets could be really tedious process. So the major idea of this project is to implement a functionality which will make it possible for the users to batch-create tickets by converting WikiFormatted tables into set of tickets."
Apache Helix Dashboard ,Apache Software Foundation,Ayola Jayamaha,"Proposed project mainly focuses on developing a dashboard for Helix. Helix is a generic cluster management framework used for the automatic management of partitioned, replicated and distributed resources hosted on a cluster of nodes. Helix uses Zookeeper for maintaining the cluster state and change notifications.Helix approach of using a distributed state machine with constraints on state and transitions.Additional info: https://issues.apache.org/jira/browse/HELIX-60"
Apache Nutch web GUI,Apache Software Foundation,Fjodor Vershinin,"The goal of this project is to create a web-application, which allows to manage Apache Nutch without any effort."
Apache Thrift - Test Framework harmonization across all languages,Apache Software Foundation,Chamila Wijayarathna,"Apache Thrift is a software framework which enables communication between servers and clients which use different languages, different protocols and different transports. The main purpose of this project is to extend the current Thrift cross language test suite to cover all client-server-protocol-transport-socket combination with a test case."
COMDEV108 - Add Solr to Bloodhound,Apache Software Foundation,Antonia Horincar,"The Bloodhound Search plugins supports different search backends, but only Woosh has been implemented so far. Apache Solr is a search platform focused on delivering enterprise class, high performance search functionality [2]. It provides great scalability, and great performance under heavy usage, being a great tool for services having a high number of users, and high amount of data."
CSV PropertyTable Support for Apache Jena (JENA-625),Apache Software Foundation,Ying Jiang,"This project is about getting CSVs into a form that is amenable to Jena SPARQL processing, and doing so in a way that is not specific to CSV files. It includes getting the right architecture in place for regular table shaped data, using the core abstraction of PropertyTable."
Dynamic clientside autocompletion features for the Apache Bloodhound ticket,Apache Software Foundation,Thimal,Ticket system need to assist users when creating and modifying ticket to reduce potential errors and to minimize the amount need to type by the users by auto completing the fields. (COMDEV-111)
Enhancement Workflows. Enterprise Integration Patterns in Apache Stanbol,Apache Software Foundation,Antonio David Perez Morales,"Stanbol provides a set of components for Semantic Content Management. One of the components is the Enhancer, which can be used to extract features from content. The Enhancer is organized using Enhancements Chains, which defines how the content will be processed but they don't allow to integrate the current process with the business layerThe goal of the proposal is to bring EIP toStanbol for easing the integration of the Enhancement workflows within the business layer of enterprise systems."
GCE support for Stratos,Apache Software Foundation,Suriya priya Veluchamy,"Apache Stratos is an opensource PaaS framework that provides a cloud computing platform along with software components to develop/test/run scalable applications by making use of IaaS providers - Amazon EC2, Openstack currently supported. Stratos uses jclouds to integrate with various IaaS providers. This projectis to provide support for GCE(Google Compute Engine) which is google’s IaaS solution, and to run large scale tests in it."
GenApp Integration with Apache Airavata,Apache Software Foundation,Nadeem Anjum,GenApp is a modular framework for multiscale science computations. Apache Airavata is a software framework for executing and managing computational jobs and workflows on distributed computing resources. The primary goal of this project is to integrate GenApp with Airavata to be able to exexcute long running computational jobs.GenApp also needs to be integrated with Airavata to enable composition and execution of workflows. GenApp needs to be integrated with Airavata's Messaging System as well.
Google Cloud Storage support for jclouds,Apache Software Foundation,Bhathiya,"Apache jclouds is an open source library that allows Java and clojure developers to write highly portable code by abstracting cloud specific features through views such as Blobstore, Compute and Loadbalancer. At the same time jclouds allows developers to make full use of vendor-specific features through provider implementation."
GUI Client for Apache SIS,Apache Software Foundation,Roshan Lakmal,"SIS is a framework for geo information analysis, currently it has a command-line and a web application to spatial data analysis. The objective of this project is to implement JavaFX desktop application to use forspatial data analysis. This application provide features such as extract and visualize meta-data information from data files andalso to map project spatial data on map for different queries."
Implementation of the LDP service for Apache Marmotta Based on SPARQL 1.1,Apache Software Foundation,Qihong Lin,"This project will provide an alternativeimplementation of the Marmotta Linked Data Platform (LDP) service based on SPARQL 1.1, inspired by the Marmotta JIRA issue: https://issues.apache.org/jira/browse/MARMOTTA-444"
Improve GCE and EC2 python bridges to CloudStack,Apache Software Foundation,Darren,"The project would aim to extend the current bridges between Cloudstack and EC2/GCE, add APIs not currently covered and fix existing bugs."
Improvements to Auto-scaling in Apache Stratos,Apache Software Foundation,Asiri Liyana Arachchi,"Apache Stratosis a polyglot PaaS framework, providing users a cloud-based environment for developing, testing, and running scalable applications. It consists of number of components to provide capabilities , flexibility and scalability. Auto-scaling is also a such a component which enables user to automatically launch or terminateinstances based on user-defined policies, health status checks, and schedules. This Gsoc project ison improving auto-scaling."
Improving classification module in Lucene,Apache Software Foundation,Gergő Törcsvári,"This project want to make the Lucane classification module more usable and speed it up. This module is approx. one year old, and have some minor issues and some deficiency.I want to resolve some optimalization problem, with an online and a cashing classification model, make more configureable result sets, and make the whole product testable. I want to implement least one new classification algorithm and do integration in solr."
Integrate YAGO2 and AIDA NED with Apache Stanbol,Apache Software Foundation,Chalitha Perera,"Apache Stanbol currently equipped with data-sets such as DBpedia and FreeBase. This project will integrate YAGO2 data set, witch has more cleaner thematic domains and efficient representation of temporal and spatial dimension. This will also integrate AIDA named entity disambiguation framework with Stanbol "
LUCENE-4396: BooleanScorer should sometimes be used for MUST clauses,Apache Software Foundation,Da Huang,"I aim to improve the performance of BooleanQuery by implementing a better rule for choosing Scorer. In order to support the new rule, my proposed work also includes a new mechanism for BooleanScorer to support MUST clauses friendly, and improved implementation of BooleanScorer which makes it able to act as Sub-Scorer on some conditions. I'll also compare the performance between my new rule and the old one."
Mavenize Pig,Apache Software Foundation,vimuth,The project aims to move Apache Pig from a ant build system to maven. 
ODE -- OModel refactoring and migration,Apache Software Foundation,Fang Zhen," This proposal is aimed at refactor the OModel for ODE project. Current OModel is not evolveable. When BPEL evolves, new version of OModel objects fail on backward compatibility and compiler/runtime is not flexible enough to the OModel changes like new extension support. I propose JSON serialization and extension plugin mechanism for them respectively. It will reduces work needed for later migrations."
Optical Character Recognition for Apache PDFBox,Apache Software Foundation,Dimuthu Upeksha,Apache PDFBox is widely used as a text extraction tool from PDF files. But in current approach text can not be extracted from image contents and corrupted character encodings. In this project a new approach to extract text from PDF is introduced using Optical Character Recognition. 
Porting EC2 support with JClouds integration inApache Airavata ,Apache Software Foundation,Nipun Udara," Apache airavata is a software framework to compose, manage,execute and monitor computational jobs and workflows that runs on variety of resources ranging from local grids to commercial clouds. This project offers improvements in the existing module for ec2 job submission as well as enhancements to execute single jobs on amazon cloud through the orchestrator."
Proposal for PDFBOX-1915 Implement shading with Coons and tensor-product pa,Apache Software Foundation,shaola,"This proposal contains my basic information and background. It also gives a concrete description of the work I have done on this project and the following work I will do and the approach I will use in this summer.There are several formula which may not display properly in the proposal, the pdf version of this proposal can be obtained through the addition info URL."
Prototype Airavata Support for Application Scheduling,Apache Software Foundation,Scott McCaulay,"The proposed project is an enhancement to the Orchestrator component of Apache Airavata, which will collect and make use of application performance data for job run time prediction and scheduling purposes."
Re-Architecturing the Apache Airavata Database System,Apache Software Foundation,Sachith Withana,"Apache Airavata Registry currently contain every data related to persisting, metadata, provenance, inputs and outputs, workflows ...etc. This makes the system highly susceptible for changes. To add a new feature to any one of those, requires highly remodeling the whole system and implementing. For Example the recent Data Model Changes took a lot of development time to implement. This project is to make the Airavata Database system more stable and flexible for feature additions"
SPARQL commands in Jena rules,Apache Software Foundation,Miguel Bento Alves,"The goal of this project is enrich Jena framework with rules based on SPARQL commands or include SPARQL commands in a rule. Thus, we increase the expressiveness of Jena resulted from the combination of the rules with SPARQL commands. "
Speech to Text Enhancement Engine for Apache Stanbol,Apache Software Foundation,Suman Saurabh,"TBD enhancement engine uses Sphinix library to convert the captured audio. Media (audio/video) data file is parsed with the ContentItem and formatted to proper audio format by Xuggler libraries. Audio speech is than extracted by Sphinix to 'plain/text' with the annotation of temporal position of the extracted text. Sphinix uses acoustic model and language model to map the utterances with the text, so the engine will also provide support of uploading acoustic model and language model. "
Adopt the Urdu-Hindi Language Pair,Apertium,Sudarsh Rathi,"This idea is to develop machine translation system using Apertium framework for the Urdu-Hindi langauge pair writing linguistic data, including morphological rules and transfer rules — which are specified in a declarative language."
Adopting an unreleased English-Kazakh language pair,Apertium,Aida Sundetova,"Nowadays, machine translation is very common and fast tool, which we use for understanding foreign languages. My idea is focused on developing English-Kazakh machine translation on Apertium, a free/open-source machine translation platform. I plan to continue working on this project, reach a good WER and coverage. I believe that my work will be useful for the society and other developments."
Adopting an unreleased language pair -- Serbo-Croatian<->English,Apertium,Barbara Dujmic,The goal of this project is to adopt the Serbo-Croatian<->English from the incubator and make it a working language pair.
Adopting an unreleased language pair of Kazakh <-> Karakalpak languages.,Apertium,Beknazar,"The project aims to complete bidirectional machine translation system between Kazakh and Karakalpak languages on Apertium system."
Apertium on Pidgin & XChat,Apertium,Sergio,"The objective is to develop a way to interface Apertium with chat clients Pidgin and XChat (IRC), so that the users of said clients are able to translate both their messages before sending them and the messages received."
Apertium-tat-rus– machine translation system from Tatar to Russian,Apertium,Ilnar Salimzyanov,The goal of this project is to develop a Tatar-to-Russian machine translator.
Assimilation evaluation toolkit for Apertium language pairs,Apertium,Ekaterina Ageeva,Assimilation (understanding the gist) of texts is believed to be the main application of online machine translation. Language pairs may be evaluated to see how well they perform in this task. The proposed toolkit will automatically generate tasks for human evaluation given parallel texts and a corresponding language pair. The toolkit will include different types of tasks and will be available through different interfaces.
Bring a Hindi-English language pair up to state-of-the-art quality,Apertium,Raveesh Motlani,"The project is basically aims at drastically improving the performance both in terms of coverage & translation quality of Hindi-English language pair. Throughout the project I will be working with dictionaries, transfer grammar rules, corpora, etc. The objective is to make this language pair state-of-the-art and release it. Currently Hindi-English MT system is in nursery, I plan to make this language pair ready for release by the end of this project."
"Bringing tur-kir, kaz-kir, and tur-uzb pairs out of nursery",Apertium,Jonathan,"The goal of this project is to bring three Turkic-Turkic translation systems (Turkish-Kyrgyz, Kazakh-Kyrgyz, and Turkish-Uzbek) to production quality.These pairs are currently in Apertium's nursery, and need varying amounts of attention in order to function as intended."
Complex multiwords,Apertium,AlexFlower,A project to enhance the current complex multiwords compiler. It will improve the way we deal with multiply inflected multiwords.
Fuzzy-match repair from Translation Memory,Apertium,Pankaj Kumar Sharma,"For a given sentence S in a source language and it's translation T in another language, the idea is to find the translation of another sentence S'. The condition that S and S' must hold is that S and S' must have high Fuzzy-match score (or Low Edit Distance) between them. Then depending upon what changes from S to S' we employ a set of repair operations to T to get our T'. "
Improving support for non-standard text input,Apertium,Akshay Minocha (ksnmi),"In the current trend non-standard language usage is more common on platforms like IRC, Twitter, Youtube, forums, etc. We want to translate this data to our desired language, hence spreading the message. Sadly even a little inconsistency in the data can make the Machine translation go wrong in various ways. This project aims to convert data into a standard text which can be accurately translated using the MT systems of Apertium."
Make the English-Esperanto pair state-of-the-art,Apertium,Darshak Parikh,"The aim of this project is to enhance the translation quality of English-Esperanto language pair, especially in the EN>EO direction."
Malayalam English Language pair,Apertium,Aboobacker MK,English Malayalam pair language pair for apertium machine translator
Optimise the VM for transfer,Apertium,Andrei Sfrenț,The project aims to speed up the VM for transfer code (the transfer step being the slowest of the translation pipeline at the moment).
Add a material editor in appleseed.studio,appleseed,Marius Avram,This editor allows a easier workflow for materials creation.
Adding Support for Curve Rendering in Appleseed,appleseed,Srinath Ravichandran,"Hair/Fur rendering is a very important requirement for any production renderer. Hair is usually modelled mathematically as a curve. Analytical intersection of rays with curves is quite involved. Further, production rendering requires efficient representation, storage, intersection and shading. This project would involve researching into all these aspects and would culminate in adding support for curve rendering in appleseed."
Arches Admin UI Improvements ,Arches Project,Palash Oswal,"The present Arches administration UI is not easy to use and understand for a non-technical person. The objective of the project is to provide a simple, yet efficient and powerful operational UI to the user."
Data import/export improvements for Arches,Arches Project,Tharindu Rusira,This project implements a new data communication standard for Arches based on popular data transport formats like XML and JSON. Arches will be empowered to import and export data more efficiently with different data sources through the improved data exchange mechanism. 
