52north - Open Sensor SearchIdea proposal,52°North Initiative for Geospatial Open Source Software GmbH,Mohammad Ahmed Hamed Yakoub,"I'm Mohammad A Yakoub , I'm presenting this proposal in which I include : information about me , Information about the idea , my view about the architecture of the solution and furthur explanations"
52°North Web Processing Service Admin Web Module,52°North Initiative for Geospatial Open Source Software GmbH,Khalid Alqinyah,"Build a new and flexible web admin module for 52°North Web Processing Service. The architecture should be pluggable and allow for the integration of configuration modules, the definition of configuration parameters, and the retrieval of configuration values during runtime and in a type safe manner. In addition, the web module should provide the ability to configure repositories, generators, parsers, users, logs, and other settings through a modern user interface."
Seismic Data Modeling in SOS,52°North Initiative for Geospatial Open Source Software GmbH,pnoble,"(From Abstract)Sensor Web is a web application that allows users to view time series data via SOS, from various global sensor networks. It provides visual locations for each sensor as well as graphically representing the data. This project hopes to accomplish the following:	- Enable SOS to access seismic data sensors	- Implement Sensor Web Client functionality to visualize seismograms and graphical seismic data.These two general steps will effectively add a new spectrum of data analysis for Sensor Web and 52 North, creating a quick and useful way for seismologists to view online sensor data."
Trajectory Analysis in R,52°North Initiative for Geospatial Open Source Software GmbH,Jinlong Yang,This project intends to develop statistical and visualization methods for trajectory analysis in the R programming language based on the classes from the spacetime package.
Math improvements to Abiword,abiword,Abhishek Ravi,"This project will significantly improve Abiword's math plugin. The project will replace the mathml rendering library Gmathview with lasem, to display equations. Further enhancements include improving the mathml to itex conversion, and building a better math editor."
OpenMedSpel plugin for AbiWord,abiword,serhatkiyak,I would like to implement the spell checking for multiple languages for an AbiWord document and also the spell checking against the medical terms included in the OpenMedSpel dictionary.
Table Improvements,abiword,Joe He,"In this proposal, I hope to implement repeating table header, a feature that allows Abiword's Table to repeat a selected row as header on top of each page that the table is broken over. Some of Table features have been implemented on branches ""gsoc2010tableimprov"", I should merge them firstly. some major works:1. the backend work about Table header2. Frontend work to display the table header on the top of every page 3. fix the table dialog (or Menu) to enable the user to use the feature4. Merge branches ""gsoc2010tableimprov"" for some table features 5. More testing means more guarantee.I have built Abiword on both Windows and Linux.I also have fixed bug http://bugzilla.abisource.com/show_bug.cgi?id=8487I also make some contribution about Chinese Translation.http://translate.sugarlabs.org/accounts/joejoe/"
Develop a reusable solution for numerical aerospace problems,AerospaceResearch.Net,Elmar A.,"Based your ideas page, and the proposed application tasks, I head the idea to solve the tasks with great reusability in mind, leveraging new high level languages, and possible develop a domain specific languaes, to help aerospace scientists to more easily program future solutions.Taking a look at your project ideas, and your previous softwa"
Space Top Trumps ,AerospaceResearch.Net,lynnetteng,"Space Top Trumps, aims to create a basic prototype of a fun and interactive Android game for children ages 6-12 to learn about space vehicles. It should be able to be expanded and improved on to accommodate more card sets from various institutes like NASA and so forth. "
Improving accuracy of Bengali OCR tools,Ankur India,Debajyoti,"OCR for languages with connected scripts is a widely popular subject, and a few open source projects can be found on the cloud, but none of them are complete as a whole.This project aims to extended an OCR tool for Bengali language, with an aim to improve accuracy up to 98%."
Improving information retrieval methods for OCR data sets consisting of Indic scripts,Ankur India,Abhishek Gupta,"This project aims at improving IR methods for OCRed data i.e. erroneous data. The mis-classification error introduced by OCR can significantly degrade the IR efficiency. We have to develop some IR methods which take these errors into account and give better results accordingly."
Speech based query and result retrieval system for Indian languages,Ankur India,Srikanth Ronanki,"This projects intends to provide an easily extensible framework for utilizing speech input to query a data store of content and, provide result set. The goal of the project is to implement the system in Telugu along with a documented process of how to extend it to other Indian languages."
To implement a tool for improving the aesthetic quality of fonts of Indic scripts,Ankur India,Mayank Jha,"There are a lot of fonts for Roman scripts but when it comes to fonts for Indic scripts like Devanagri, Bengali, Telugu, there is a dearth of good quality Open Type fonts. This tool would facilitate in providing tests enabling Font developers to contribute more to Open Type Indic fonts."
 #TAJO-34 - Outer Join,Apache Software Foundation,camelia,"Official project description:The current Tajo does not support outer join. The parser part for outer join was already implemented.In this issue, we should improve LogicalPlanner/LogicalOptimizer to deal with outer joins. Then, we should adopt outer join to existing physical join operators like HashJoinExec and MergeJoinExec."
A better plan/data flow visualizer,Apache Software Foundation,Allan Avendaño,"As an improvement for the visualization, it is proposed a change to the visualization. On which, it is required to display a script on the different layers (flow, logical, physical and mapreduce), show operator type and alias, and so on, more dynamically through some graphical tools, such a D3JS.Based on the requirements, I proposed an extension to the grunt, which generates a zip file with the graphs required (flow, logical, physical and/or mapreduce) by using D3JS."
"A generic (Naked Objects) Android app, to run against Isis' Restful Objects interface",Apache Software Foundation,Dimuthu Upeksha,"Apache Isis a java framework that support to build domain-driven applications. Users are expected to focus in domain entities and application logic then UI representation is generated from the framework itself. Isis is capable to generate user interfaces at runtime. It is already capable to generate such user interfaces using wicket, servlet/jasp and Restful api over http and json. In this project it is expected to adopt this generic user interface designing capabilities to android applications using existingRestful Objects Interface. At the end of this projects the outcome should be ageneric android app that can generate user interfaces dynamically for any given domain model design using the support of Restful Objects Interface of Isis"
A new modular UI for Apache CloudStack,Apache Software Foundation,Shiva Teja Reddy,"The aim of this project is to create a new modular UI for Apache CloudStack using Bootstrap by Twitter and Backbone.js. To achieve this easily, I'll be creating a RESTful wrapper API on top of the current CloudStack API.I hope this project will make custom UIs for CloudStack very easy."
A Web-based Workflow Composition UI for Apache Airavata,Apache Software Foundation,Subho,"Apache Airavata allows the registration of applications in aglobal registry and then composing these applications to form a workflow. This is done in a Java based workflow composition service called Xbaya: which allows application registration, workflow composition, workflow execution andmonitoring. The project proposed here, on completion , looks to replace application registration and workflow composition UI provided by Airavata with one built with HTML5, JavaScript and CSS3."
Add Xen/XCP support for GRE SDN controller,Apache Software Foundation,Tuna,This project aims to enhance the current native SDN controller in supporting Xen/XCP and integrate successfully the open source SDN controller (FloodLight) driving Open vSwitch through its interfaces. 
Agent Based Modeling based geo-profiling of criminology projects,Apache Software Foundation,Nadeem Anjum,"The goal of this project is to extend the geo-profiling computational criminology projects. Previous work in this field uses a simple 2 dimensional spacial grid with x, y co-ordinates to move the agents. This project instead uses google maps api to make the agents move around as we validate various criminology theories like Distance Decay and Routine Activity. In the future these could be modeling in SIS when rendering is fully supported."
AMQP Messaging protocol support for Airavata WS-Messenger,Apache Software Foundation,Danushka Menikkumbura,"WS-Messenger is a publish/subscribe type message broker implementation that is based on Web services. AMQP is an application layer protocol for message-oriented middleware that also supports publish/subscribe and store-and-forward message flow patterns. The objective of this project is to implement a robust, scalable and efficient MOM framework in WS-Messenger based on AMQP."
Apache Airavata Gateway Monitoring Dashboard,Apache Software Foundation,Viknes Balasubramanee,Apache Airavata is a framework for managing computational jobs and workflows. An essential part of managing a workflow would be debugging and this project would provide a user friendly light weight webapp in HTML5 and JavaScript with simple visualizations and tools for the administrators to monitors the workflows. This would be an independent module and can be easily attached to their existing webapp or can work as a standalone webapp as well.
Apache Cassandra backend for Sling,Apache Software Foundation,Dishara,"Apache Sling is a web framework that uses a Java Content Repository as its underline repository which isApache Jackrabbit, to store and manage content.Sling applications use either scripts or Java servlets, selected based on simple name conventions, to process HTTP requests in a RESTful way.Sling is the ideal wayfor you to implement a web content management system where it’s simple to implement simple applications, while providing an enterprise-level framework for more complex applications."
Apache Celix Event admin implementation[GSoC] Event Admin Celix-48,Apache Software Foundation,Erik Jansman,"I'm Erik, a computer science student from the Netherlands, I'm applying for a spot in Google summer of code to develop the Event admin specification of OSGi in Apache Celix, an incubator project. I want to help Celix grow in terms of functionality as well as in community."
Apache Gora support for Oracle NoSQL datastore,Apache Software Foundation,Apostolos Giannakidis,"Further expanding Apache Gora’s datastore support is key for becoming a standard persistence framework. The goal of this project is to extend the integration capabilities of Apache Gora. By implementing a new module for Gora, named Gora-OracleNoSQL, this project aims to offer a new NoSQL datastore which will enable Apache Gora users and developers to use the functionality of the enterprise-class Oracle NoSQL database and vice versa. "
